2019 Healthiest Communities Rank,Community,"2019 Healthiest Communities Overall Score (out of 100)",Community Vitality,Equity,Economy,Education,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
1,"Douglas County, Colorado",100.0,84.0,64.4,100.0,64.8,84.7,65.8,94.9,65.7,79.1,93.8
2,"Los Alamos County, New Mexico",99.6,72.1,83.3,73.2,66.7,91.8,61.5,100.0,88.5,75.4,86.7
3,"Falls Church city, Virginia",98.5,71.9,64.1,95.0,100.0,63.1,67.2,92.8,51.1,96.9,86.2
4,"Loudoun County, Virginia",93.0,83.3,51.7,100.0,81.1,64.1,67.4,90.7,56.1,87.0,72.8
5,"Broomfield County, Colorado",91.0,76.6,55.5,91.3,67.9,76.3,60.8,88.4,67.8,73.1,93.7
6,"Teton County, Wyoming",87.3,69.8,50.6,80.0,74.0,90.7,76.8,86.9,50.1,62.9,94.3
7,"Hamilton County, Indiana",86.6,79.7,60.8,92.2,76.3,60.5,42.4,88.1,70.7,62.4,83.9
8,"Carver County, Minnesota",85.7,76.3,51.4,91.9,71.3,72.3,47.7,83.3,67.9,77.5,81.2
9,"Delaware County, Ohio",84.9,80.1,65.1,85.2,75.6,60.1,41.3,84.5,71.9,66.4,79.4
10,"Howard County, Maryland",84.9,65.6,49.5,92.2,80.5,54.5,63.1,91.9,58.0,70.3,86.1
11,"Chaffee County, Colorado",84.6,82.6,61.7,56.1,42.7,96.8,82.0,83.8,67.9,81.9,73.6
12,"Morgan County, Utah",84.4,79.5,48.5,81.2,65.3,81.5,65.7,89.4,59.3,77.8,66.4
13,"Fairfax County, Virginia",84.3,53.7,43.5,92.4,78.6,68.8,68.6,95.0,55.2,74.9,83.0
14,"Routt County, Colorado",84.2,70.5,54.3,72.7,55.4,88.6,72.4,89.2,54.3,77.5,87.9
15,"Jefferson County, Montana",84.1,84.8,62.1,66.1,44.2,76.7,86.2,76.8,75.9,74.7,73.3
16,"Ozaukee County, Wisconsin",83.9,69.6,62.3,77.9,73.8,69.5,54.5,93.2,59.6,71.2,76.5
17,"San Miguel County, Colorado",83.4,68.3,57.7,68.7,59.8,91.9,95.2,90.9,29.6,74.0,81.2
18,"Fairfax city, Virginia",83.3,63.6,59.5,88.5,69.0,64.4,68.4,80.8,44.1,91.9,82.4
19,"Pitkin County, Colorado",83.3,68.9,42.7,74.0,57.5,97.9,78.4,91.4,41.5,83.3,84.8
20,"Boulder County, Colorado",82.8,61.4,27.5,87.4,67.1,83.4,72.1,92.5,53.3,77.4,92.4
21,"Washington County, Minnesota",81.8,70.6,57.0,87.9,70.1,64.5,44.3,84.9,59.7,72.9,86.2
22,"Williamson County, Tennessee",81.7,85.1,55.8,90.7,72.5,51.5,43.9,84.4,68.3,61.1,75.1
23,"Morris County, New Jersey",81.5,58.2,49.4,89.5,85.5,61.0,63.1,82.4,57.1,79.3,71.9
24,"Marin County, California",81.4,60.0,25.3,89.5,74.6,70.1,88.2,96.3,36.7,86.8,74.2
25,"Arlington County, Virginia",81.2,42.6,31.8,90.0,82.2,67.5,79.7,87.6,57.7,89.0,76.1
26,"Bremer County, Iowa",81.0,66.9,58.3,65.3,61.4,66.5,56.5,83.3,81.2,72.2,92.7
27,"Hunterdon County, New Jersey",81.0,68.1,58.0,86.7,80.6,59.7,72.8,81.9,47.9,80.5,53.8
28,"Sioux County, Iowa",80.7,66.4,62.2,64.9,57.0,76.4,53.8,86.2,80.2,72.5,81.5
29,"Dallas County, Iowa",80.7,74.7,43.6,83.2,74.6,59.2,49.7,81.3,73.5,67.6,86.7
30,"Clear Creek County, Colorado",80.5,78.0,52.1,71.6,45.2,94.4,81.0,71.8,60.6,87.5,64.4
31,"Lincoln County, South Dakota",80.3,76.2,52.8,84.0,61.1,65.8,35.3,89.7,77.6,60.9,84.1
32,"Teller County, Colorado",80.0,80.2,79.4,64.6,36.5,96.7,75.5,73.3,47.8,86.0,60.5
33,"Collin County, Texas",80.0,65.2,46.1,95.4,78.7,65.7,53.7,75.3,65.0,67.2,76.9
34,"Larimer County, Colorado",79.9,64.7,51.3,76.0,59.2,81.1,68.6,85.4,57.4,68.4,84.1
35,"Washington County, Wisconsin",79.7,64.3,74.9,75.0,61.0,72.7,45.7,82.9,63.5,68.2,81.6
36,"Grundy County, Iowa",79.6,68.3,67.3,60.0,58.2,67.7,59.6,84.3,75.5,75.9,77.6
37,"Placer County, California",79.5,58.7,55.0,80.5,63.1,67.5,66.8,90.9,51.8,75.8,78.9
38,"Hardin County, Iowa",79.4,60.7,70.0,57.5,62.6,79.0,58.1,74.7,81.8,76.1,79.1
39,"San Mateo County, California",79.2,40.9,30.7,90.6,72.6,73.5,79.1,95.0,36.3,89.1,86.7
40,"Lincoln County, Wyoming",79.1,66.9,71.6,68.4,54.1,87.4,66.6,73.7,67.3,81.9,54.9
41,"Scott County, Minnesota",79.1,70.8,49.9,89.5,64.5,73.9,43.5,78.2,61.2,73.1,82.8
42,"Grand County, Colorado",79.1,66.7,56.8,67.0,35.3,89.5,86.8,80.1,54.6,88.8,75.6
43,"Rockingham County, New Hampshire",79.0,64.9,70.5,83.5,71.6,65.0,51.5,73.5,58.1,77.6,67.5
44,"Elbert County, Colorado",78.6,91.5,79.4,77.2,34.5,74.9,65.9,76.4,61.1,81.6,34.4
45,"Santa Clara County, California",78.6,35.9,44.7,87.2,68.7,71.7,78.5,96.5,45.5,71.4,87.4
46,"Dodge County, Minnesota",78.5,68.7,73.9,70.1,53.9,69.3,45.3,74.7,67.9,79.5,86.1
47,"Jefferson County, Colorado",78.4,60.3,44.4,90.0,56.4,62.5,67.2,81.5,59.3,71.6,93.9
48,"Eagle County, Colorado",78.4,53.9,32.5,82.5,54.2,90.2,78.6,89.7,40.4,86.0,87.8
49,"Summit County, Utah",78.3,74.0,23.2,79.3,57.2,72.6,69.0,89.5,63.7,81.6,78.3
50,"Dukes County, Massachusetts",78.2,86.1,70.8,64.9,76.2,60.4,65.7,67.2,38.1,65.9,87.9
51,"Hanover County, Virginia",78.2,75.0,69.6,78.9,65.3,63.5,44.9,78.0,56.1,73.8,72.7
52,"San Juan County, Washington",78.1,84.3,59.5,56.4,51.4,66.1,100.0,92.6,26.9,72.6,73.0
53,"Norfolk County, Massachusetts",78.0,56.7,47.2,87.0,80.6,62.0,61.4,79.3,60.6,81.3,63.9
54,"Winneshiek County, Iowa",78.0,64.9,60.1,61.5,65.5,76.1,53.9,86.5,76.1,63.0,76.1
55,"Johnson County, Kansas",78.0,57.4,47.5,89.6,72.4,58.2,48.6,87.4,64.2,60.6,91.5
56,"Winnebago County, Iowa",78.0,61.4,71.7,48.7,61.6,80.3,58.2,73.8,76.6,72.3,91.0
57,"Sublette County, Wyoming",77.9,69.1,44.2,70.2,56.0,88.2,76.2,74.0,85.2,69.0,55.6
58,"Summit County, Colorado",77.9,59.4,48.6,73.3,56.6,100.0,70.0,87.3,27.3,78.4,91.6
59,"Waukesha County, Wisconsin",77.9,65.4,52.1,86.8,69.5,53.7,47.2,89.1,62.3,71.0,76.1
